file,size,q,progressive
10201.jpg,4.20988M,99,0
10202.jpg,98851,86,0
10203.jpg,15842,0,1
10204.jpg,51892,0,1
10205.jpg,38272,75,1
10206.jpg,10210,82,0
10207.jpg,812,82,0
10208.jpg,71322,100,0
10209.jpg,262638,98,1
1021.jpg,18798,79,0
10210.jpg,23100,95,0
10211.jpg,23546,82,0
10212.jpg,63320,93,0
10213.jpg,37581,99,0
10214.jpg,15491,86,0
10215.jpg,14077,85,0
10216.jpg,1.09347M,63,1
10217.jpg,7092,80,0
10218.jpg,124879,89,0
10219.jpg,9182,82,0
1022.jpg,21399,100,0
10220.jpg,84979,90,0
10221.jpg,291809,82,0
10222.jpg,3342,75,1
10223.jpg,50335,85,1
10224.jpg,13787,0,1
10225.jpg,57092,99,0
10226.jpg,319715,95,0
10227.jpg,39150,100,0
10228.jpg,63603,83,1
10229.jpg,42322,82,0
1023.jpg,56292,98,0
10230.jpg,15645,85,0
10231.jpg,95626,94,0
10232.jpg,145282,99,0
10233.jpg,13590,85,0
10234.jpg,311439,75,0
10235.jpg,12040,69,0
10236.jpg,210916,76,1
10237.jpg,343886,99,0
10238.jpg,76981,75,0
10239.jpg,20884,73,1
1024.jpg,20992,86,0
10240.jpg,114747,90,0
10241.jpg,72237,92,0
10242.jpg,178198,91,1
10243.jpg,28135,85,0
10244.jpg,110077,94,1
10245.jpg,10327,82,0
10246.jpg,34773,0,1
10247.jpg,96427,100,0
10248.jpg,2312,80,0
10249.jpg,24738,74,1
1025.jpg,13516,61,1
10250.jpg,5620,40,0
10251.jpg,165490,92,0
10252.jpg,14758,82,0
10253.jpg,1731,85,0
10254.jpg,3433,75,1
10255.jpg,1722,85,0
10256.jpg,51379,85,1
10257.jpg,25791,82,0
10258.jpg,26350,82,0
10259.jpg,14544,80,0
1026.jpg,82696,74,1
10260.jpg,285108,94,0
10261.jpg,57428,85,0
10262.jpg,61620,100,0
10263.jpg,4405,82,0
10264.jpg,333252,100,0
10265.jpg,3.51268M,91,0
10266.jpg,10136,90,0
10267.jpg,572553,85,1
10268.jpg,341147,99,0
10269.jpg,5683,100,0
1027.jpg,22666,82,0
10270.jpg,138618,95,0
10271.jpg,3322,0,1
10272.jpg,4078,82,0
10273.jpg,60252,80,0
10274.jpg,26925,82,1
10275.jpg,9662,90,1
10276.jpg,15834,80,0
10277.jpg,60220,85,1
10278.jpg,530246,95,0
10279.jpg,37120,63,1
1028.jpg,31555,80,1
10280.jpg,8362,94,0
10281.jpg,16910,82,0
10282.jpg,44948,90,0
10283.jpg,700614,100,0
10284.jpg,13357,90,0
10285.jpg,2449,82,0
10286.jpg,581214,94,0
10287.jpg,8350,85,0
10288.jpg,28165,82,0
10289.jpg,23396,90,0
1029.jpg,3640,85,0
10290.jpg,3393,92,0
10291.jpg,52182,100,0
10292.jpg,43265,94,0
10293.jpg,855,80,1
10294.jpg,53421,90,0
10295.jpg,56680,90,0
10296.jpg,707,85,0
10297.jpg,81114,0,1
10298.jpg,68833,82,0
10299.jpg,4093,86,0
103.jpg,16462,80,1
1030.jpg,10290,86,0
10300.jpg,13996,85,0
10301.jpg,31107,70,0
10302.jpg,714242,97,0
10303.jpg,558213,98,0
10304.jpg,83467,99,0
10305.jpg,23933,85,0
10306.jpg,14813,90,0
10307.jpg,2.85836M,99,0
10308.jpg,16618,90,1
10309.jpg,487236,82,0
1031.jpg,15406,75,0
10310.jpg,5645,90,0
10311.jpg,3.60784M,99,0
10312.jpg,189498,63,1
10313.jpg,16778,99,0
10314.jpg,33084,82,0
10315.jpg,34226,75,0
10316.jpg,156667,100,0
10317.jpg,70515,91,1
10318.jpg,67793,94,0
10319.jpg,8629,90,0
1032.jpg,60594,100,0
10320.jpg,101890,69,0
10321.jpg,155591,100,0
10322.jpg,29162,82,0
10323.jpg,872602,95,0
10324.jpg,33007,80,0
10325.jpg,210192,99,1
10326.jpg,9456,90,1
10327.jpg,121551,91,0
10328.jpg,21425,82,0
10329.jpg,79399,85,0
1033.jpg,76828,63,1
10330.jpg,23022,90,0
10331.jpg,13679,90,0
10332.jpg,64332,82,0
10333.jpg,5918,82,0
10334.jpg,50823,93,0
10335.jpg,36498,90,0
10336.jpg,10447,90,0
10337.jpg,12010,90,0
10338.jpg,92921,94,1
10339.jpg,1706,0,1
1034.jpg,11399,90,0
10340.jpg,43667,100,0
10341.jpg,52106,0,1
10342.jpg,167292,86,0
10343.jpg,23538,90,0
10344.jpg,8005,85,1
10345.jpg,489173,80,1
10346.jpg,11186,82,1
10347.jpg,27885,82,0
10348.jpg,13804,93,0
10349.jpg,136101,100,0
1035.jpg,64973,75,0
10350.jpg,80566,90,0
10351.jpg,2513,82,0
10352.jpg,135189,90,1
10353.jpg,160445,80,0
10354.jpg,43203,90,0
10355.jpg,5744,82,0
10356.jpg,139245,88,0
10357.jpg,3258,83,1
10358.jpg,318040,91,0
10359.jpg,5974,75,0
1036.jpg,30322,94,1
10360.jpg,597207,88,1
10361.jpg,188059,75,0
10362.jpg,27339,93,0
10363.jpg,345962,86,1
10364.jpg,3535,73,0
10365.jpg,10255,90,0
10366.jpg,51251,89,0
10367.jpg,3122,89,1
10368.jpg,49167,89,0
10369.jpg,174561,50,1
1037.jpg,18849,83,0
10370.jpg,67595,100,1
10371.jpg,13654,90,1
10372.jpg,147169,85,1
10373.jpg,56988,100,0
10374.jpg,26767,73,1
10375.jpg,81119,82,0
10376.jpg,31517,90,1
10377.jpg,3454,82,0
10378.jpg,48658,85,0
10379.jpg,7232,85,0
1038.jpg,333738,94,0
10380.jpg,91612,85,1
10381.jpg,2759,82,1
10382.jpg,224028,85,1
10383.jpg,5189,85,1
10384.jpg,269019,94,0
10385.jpg,42138,73,1
10386.jpg,4858,90,1
10387.jpg,156163,99,1
10388.jpg,5769,82,0
10389.jpg,15560,80,0
1039.jpg,10893,82,1
10390.jpg,22907,80,1
10391.jpg,90572,78,1
10392.jpg,5683,75,0
10393.jpg,459890,99,1
10394.jpg,47048,94,0
10395.jpg,86616,75,1
10396.jpg,48956,100,0
10397.jpg,4780,86,0
10398.jpg,97858,100,0
10399.jpg,16962,80,0
104.jpg,3550,85,1
1040.jpg,45820,85,0
10400.jpg,23170,82,0
10401.jpg,2614,99,0
10402.jpg,7756,83,0
10403.jpg,80102,86,1
10404.jpg,21295,90,0
10405.jpg,26145,90,1
10406.jpg,5605,100,0
10407.jpg,10078,100,0
10408.jpg,13698,90,1
10409.jpg,4745,99,0
1041.jpg,34470,86,1
10410.jpg,55304,82,0
10411.jpg,35343,75,0
10412.jpg,24803,63,1
10413.jpg,17727,60,0
10414.jpg,61455,91,1
10415.jpg,18123,85,0
10416.jpg,89609,98,1
10417.jpg,14203,100,0
10418.jpg,43749,94,0
10419.jpg,38178,90,0
1042.jpg,26302,80,0
10420.jpg,2949,75,0
10421.jpg,11193,82,0
10422.jpg,5044,90,0
10423.jpg,79739,80,0
10424.jpg,31103,63,1
10425.jpg,11180,75,0
10426.jpg,2339,85,1
10427.jpg,24893,91,1
10428.jpg,1711,85,0
10429.jpg,36879,87,0
1043.jpg,787,80,0
10430.jpg,50885,69,0
10431.jpg,12435,83,1
10432.jpg,208111,75,0
10433.jpg,19073,82,0
10434.jpg,6330,63,1
10435.jpg,17645,94,0
10436.jpg,335122,90,0
10437.jpg,24693,91,0
10438.jpg,58139,85,1
10439.jpg,58013,94,1
1044.jpg,23194,97,0
10440.jpg,55561,82,0
10441.jpg,3950,82,0
10442.jpg,62020,94,0
10443.jpg,26347,85,0
10444.jpg,355524,75,0
10445.jpg,121734,98,0
10446.jpg,55767,100,0
10447.jpg,2314,84,0
10448.jpg,10607,89,0
10449.jpg,74499,80,0
1045.jpg,12958,82,0
10450.jpg,282578,80,1
10451.jpg,389500,90,0
10452.jpg,35153,99,1
10453.jpg,27267,90,1
10454.jpg,12293,90,1
10455.jpg,37105,92,0
10456.jpg,24795,92,0
10457.jpg,326032,90,1
10458.jpg,71200,64,1
10459.jpg,51070,99,0
1046.jpg,75600,84,0
10460.jpg,41768,85,0
10461.jpg,162759,85,1
10462.jpg,34256,100,0
10463.jpg,13314,80,1
10464.jpg,65866,99,0
10465.jpg,31227,88,1
10466.jpg,61742,85,0
10467.jpg,3595,100,0
10468.jpg,73785,86,0
10469.jpg,21064,91,1
1047.jpg,103829,82,0
10470.jpg,11246,99,1
10471.jpg,3666,82,0
10472.jpg,1338,86,0
10473.jpg,1507,80,0
10474.jpg,3682,63,1
10475.jpg,248384,86,0
10476.jpg,66615,82,0
10477.jpg,45009,63,1
10478.jpg,433244,99,1
10479.jpg,715205,99,0
1048.jpg,27699,99,0
10480.jpg,10825,82,0
10481.jpg,34456,100,0
10482.jpg,67918,100,0
10483.jpg,8128,75,0
10484.jpg,110915,80,0
10485.jpg,113005,85,0
10486.jpg,9815,65,0
10487.jpg,605,83,0
10488.jpg,118364,92,1
10489.jpg,395175,86,0
1049.jpg,1.07519M,82,0
10490.jpg,15421,85,0
10491.jpg,10787,82,0
10492.jpg,68598,100,0
